"x","y","r","area","estado","angulo"
800,800,6,113.04,1,0
797.179746165128,786.608756842366,7.685,185.4459665,1,13.685
787.119668673225,797.477562703953,7.125,159.4040625,1,13.125
809.469383627695,792.62905883136,6,113.04,1,12
792.48774990349,810.065768648617,6.56,135.125504,1,12.56
811.11811411569,804.515256195444,6,113.04,1,12
783.610800517991,784.830291485656,6,113.04,1,22.3321722201686
810.525661869421,778.984884203481,7.685,185.4459665,1,23.5037156579651
780.633562188102,808.233213435715,5.435,92.7531665,1,21.0438759975478
801.536068916551,808.487114779688,2.625,21.6365625,1,8.62499999999998
820.587497743385,797.144315026804,6,113.04,1,20.7846096908266
790.287649337748,772.241320525402,8.25,213.71625,1,29.4087409040243
769.259706874256,794.054699934372,11.06,384.096104,1,31.3099379483099
783.86814807058,819.201197715831,6,113.04,1,25.0783300958251
802.293325462046,815.948787683556,4.875,74.6240625,1,16.112826265122
822.630510028152,809.537042765453,6.56,135.125504,1,24.5579960266382
827.707788561579,782.888590434054,9.935,309.9312665,1,32.5656549804655
771.054922837186,816.357452980749,7.125,159.4040625,1,33.2473120714844
796.107599866739,829.40512072267,9.935,309.9312665,1,29.6616234132963
775.574606693698,832.807865067903,9.935,309.9312665,1,40.9017829499068
812.025066693713,815.35237121842,4.875,74.6240625,1,19.5012187059275
755.686929774733,826.079541965756,11.06,384.096104,1,51.417805300626
834.419036626856,800.572292873145,8.25,213.71625,1,34.4237941176381
820.426818442804,821.327876849464,5.435,92.7531665,1,29.5319021162065
832.109414339331,818.608138237308,6.56,135.125504,1,37.1116868098667
810.802675537142,825.025440010708,4.875,74.6240625,1,27.2574842289292
813.132205173725,839.651081592269,9.935,309.9312665,1,41.7691642741579
843.56820862956,812.218268644412,6.56,135.125504,1,45.249031943854
848.09348347909,801.109627299216,5.435,92.7531665,1,48.1062826031763
846.390937617256,830.749518630909,12.185,466.2090665,1,55.6565538732027
819.619705497997,771.159388900847,4.3125,58.396640625,1,34.8814233138605
811.415968619639,765.895126608685,5.435,92.7531665,1,35.9647984640842
841.076651382451,789.261157175697,4.875,74.6240625,1,42.4572023807566
827.869153939956,768.642004265267,4.3125,58.396640625,1,41.952516465982
843.487290499696,778.083141070573,6.56,135.125504,1,48.6979788116232
851.899338518461,790.326552950066,6,113.04,1,52.7931521741384
860.027522518847,799.901845366273,6.56,135.125504,1,60.0276027680838
821.510567739749,760.523135022292,6,113.04,1,44.9569504409996
811.153128160006,754.463147782044,6,113.04,1,46.8828025791281
838.012045142972,766.779367882665,6,113.04,1,50.4829275520609
856.593849495212,778.676867688688,6.56,135.125504,1,60.4775972757879
832.930018657083,755.293437062887,6.56,135.125504,1,55.5253356442429
757.580350379768,807.993381969438,7.125,159.4040625,1,43.1662000784481
849.998807927559,767.342855190456,6,113.04,1,59.7190915979839
749.391524281536,794.32343858503,8.81,243.714554,1,50.9258398462338
757.061931760098,779.085051232267,8.25,213.71625,1,47.7609964943293
762.604032976422,841.054144073899,5.435,92.7531665,1,55.5328830087988
743.32049151964,811.992447521444,7.685,185.4459665,1,57.9343203906785
788.05124525987,844.44303116423,7.125,159.4040625,1,46.0212533391311
775.257069246838,849.299808403054,6.56,135.125504,1,55.1605269267221
801.245623913019,856.957127094712,11.06,384.096104,1,56.9707460528286
745.230491788055,848.092261121525,13.31,556.270154,1,72.887341902139
826.517972026844,831.005535296405,6,113.04,1,40.79884875132
783.373862087112,860.317834496147,7.125,159.4040625,1,62.5673207050051
828.753907092953,842.795386626262,6,113.04,1,51.5580477675545
844.431330902138,758.001076742462,4.875,74.6240625,1,61.1396166207137
736.378631626245,826.335906177587,8.25,213.71625,1,68.8567968173341
728.552113463011,813.10200129503,7.125,159.4040625,1,72.6392657488869
764.012013812664,859.777672130091,8.81,243.714554,1,69.7746747402849
728.601405726585,838.276478077863,6,113.04,1,81.0114068404245
869.154442750902,787.535106625695,8.81,243.714554,1,70.2688445829343
857.706754687746,813.956526496562,7.685,185.4459665,1,59.3704822992112
873.089630158262,808.002354240186,8.81,243.714554,1,73.5264014491185
822.130801331552,852.80210787117,6,113.04,1,57.2523795419484
840.282967998659,849.068055885239,7.125,159.4040625,1,63.4853653934351
854.155633147166,757.293654769844,4.875,74.6240625,1,68.9685763553786
864.626252843507,826.408055329297,6.56,135.125504,1,69.8135942554752
816.948430068703,863.62537115421,6,113.04,1,65.844036452094
808.672999517975,872.315437275943,6,113.04,1,72.8336693367131
865.484536676347,844.007139079944,11.06,384.096104,1,78.8977365563635
800.199253541134,841.87341557236,3.1875,31.902890625,1,41.8738896410309
860.538658521261,764.663830281571,4.875,74.6240625,1,70.0968905581658
828.912836655087,862.70180467816,6,113.04,1,69.0468567955258
823.97273699171,876.663592361544,8.81,243.714554,1,80.3243332536957
883.678246687479,795.354578744187,7.685,185.4459665,1,83.8070934189613
877.240723498606,822.801182710026,6.56,135.125504,1,80.535851020301
852.272763085069,855.665330988333,6.56,135.125504,1,76.3614486150467
841.507691819529,862.135790063841,6,113.04,1,74.7244597641408
867.337965079343,867.744891778019,12.75,510.44625,1,95.5184375031456
821.994738145489,747.065505054615,7.125,159.4040625,1,57.3221533197386
805.00684730903,736.749149596966,12.75,510.44625,1,63.4487083925502
867.367102708971,773.402681477316,5.435,92.7531665,1,72.4275077577446
843.925708940931,743.760049868239,9.375,275.9765625,1,71.3610530806993
873.605156669809,760.596171110254,8.81,243.714554,1,83.4888065524923
897.540426344361,814.013892776603,15.56,760.236704,1,98.5419908576738
879.114207296724,775.82869854329,6.56,135.125504,1,82.724298790018
797.178080710313,757.248923935798,8.25,213.71625,1,42.8441096666124
780.749068713822,758.777833618925,8.25,213.71625,1,45.4957729523762
880.865178280351,835.410612813528,6.56,135.125504,1,88.2784716572645
895.390215689504,764.430959697441,13.31,556.270154,1,101.80594224963
828.837604711779,730.823097531223,10.5,346.185,1,74.9469898040444
777.638166556507,775.742207608285,4.875,74.6240625,1,32.9923034460175
786.759495660863,744.626318049408,7.125,159.4040625,1,56.9346608659436
787.430359872118,732.084247199263,5.435,92.7531665,1,69.0691344338066
773.750170612789,746.365020667327,6,113.04,1,59.7140230672321
858.843654878121,747.481005930204,6,113.04,1,78.8721779686521
856.973832173516,735.627577605312,6,113.04,1,85.964099003573
870.759476519856,746.06213504025,6,113.04,1,88.9730116034086
888.586787384535,783.187383988396,5.435,92.7531665,1,90.1680816933931
896.724120826621,791.221251640549,6,113.04,1,97.1216864167899
814.813815338991,717.548707465096,8.81,243.714554,1,83.7715033025795
792.880064717549,718.922912080907,8.81,243.714554,1,81.3891126863211
845.648513193059,727.91845365735,6.56,135.125504,1,85.3201973736845
838.68834589636,714.214696099586,8.81,243.714554,1,94.1058259274249
857.050257609122,724.192833001571,5.435,92.7531665,1,94.876016261197
868.501548898254,729.352438394569,7.125,159.4040625,1,98.4049803732159
741.738753899064,780.346338368134,7.125,159.4040625,1,61.4869027742799
800.929112641425,777.67894855627,2,12.56,1,22.3403802083605
778.730588639091,736.480579391328,4.3125,58.396640625,1,66.9858541342943
737.399070229403,800.915879013845,4.875,74.6240625,1,62.6076292676153
747.284256931437,767.219651957697,7.125,159.4040625,1,62.0765719498526
722.847183656603,824.291611471616,5.435,92.7531665,1,80.8865839160357
736.12786490945,790.953785032917,4.875,74.6240625,1,64.5095624404332
727.651551742213,801.135841151231,4.875,74.6240625,1,72.3573638300241
717.753770506826,805.64134352238,6,113.04,1,82.4394749048131
728.857872440829,782.865964899767,6,113.04,1,73.1763450334968
731.68104840244,769.475337487663,7.685,185.4459665,1,74.828030636131
720.483315646254,792.226541724644,6.56,135.125504,1,79.8957429665185
737.883843145145,752.983226119501,9.935,309.9312665,1,77.9037481033296
762.176677426584,763.397815122386,8.25,213.71625,1,52.633864272992
882.460277862963,748.725074755892,6,113.04,1,97.102087433927
720.058800392586,775.562845286216,5.435,92.7531665,1,83.5928820245947
718.682946113932,763.647013380557,6.56,135.125504,1,89.0730199828382
711.643001369857,783.304521578146,6,113.04,1,89.9205104893302
754.245550185707,750.890484444378,6.56,135.125504,1,67.1208923951139
747.573557269229,738.942106499131,7.125,159.4040625,1,80.4773151649968
749.769609648856,869.169025793688,8.25,213.71625,1,85.4836021940826
